"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2016","2016","Olomoucký kraj","CZ071","6722"
"Narození","4355","2016","2016","Zlínský kraj","CZ072","5883"
"Narození","4355","2016","2016","Moravskoslezský kraj","CZ080","12096"
"Narození","4355","2017","2017","Česko","CZ","114789"
"Narození","4355","2017","2017","Praha","CZ01","15378"
"Narození","4355","2017","2017","Střední Čechy","CZ02","15372"
"Narození","4355","2017","2017","Jihozápad","CZ03","12988"
"Narození","4355","2017","2017","Severozápad","CZ04","11242"
"Narození","4355","2017","2017","Severovýchod","CZ05","15877"
"Narození","4355","2017","2017","Jihovýchod","CZ06","19004"
"Narození","4355","2017","2017","Střední Morava","CZ07","12802"
"Narození","4355","2017","2017","Moravskoslezsko","CZ08","12126"
"Narození","4355","2017","2017","Hlavní město Praha","CZ010","15378"
"Narození","4355","2017","2017","Středočeský kraj","CZ020","15372"
"Narození","4355","2017","2017","Jihočeský kraj","CZ031","6903"
"Narození","4355","2017","2017","Plzeňský kraj","CZ032","6085"
"Narození","4355","2017","2017","Karlovarský kraj","CZ041","2764"
"Narození","4355","2017","2017","Ústecký kraj","CZ042","8478"
"Narození","4355","2017","2017","Liberecký kraj","CZ051","4770"
"Narození","4355","2017","2017","Královéhradecký kraj","CZ052","5722"
"Narození","4355","2017","2017","Pardubický kraj","CZ053","5385"
"Narození","4355","2017","2017","Kraj Vysočina","CZ063","5463"
"Narození","4355","2017","2017","Jihomoravský kraj","CZ064","13541"
"Narození","4355","2017","2017","Olomoucký kraj","CZ071","6700"
"Narození","4355","2017","2017","Zlínský kraj","CZ072","6102"
"Narození","4355","2017","2017","Moravskoslezský kraj","CZ080","12126"
"Narození","4355","2018","2018","Česko","CZ","114419"
"Narození","4355","2018","2018","Praha","CZ01","15494"
"Narození","4355","2018","2018","Střední Čechy","CZ02","14824"
"Narození","4355","2018","2018","Jihozápad","CZ03","12877"
"Narození","4355","2018","2018","Severozápad","CZ04","10903"
"Narození","4355","2018","2018","Severovýchod","CZ05","15992"
"Narození","4355","2018","2018","Jihovýchod","CZ06","19077"
"Narození","4355","2018","2018","Střední Morava","CZ07","12820"
"Narození","4355","2018","2018","Moravskoslezsko","CZ08","12432"
"Narození","4355","2018","2018","Hlavní město Praha","CZ010","15494"
"Narození","4355","2018","2018","Středočeský kraj","CZ020","14824"
"Narození","4355","2018","2018","Jihočeský kraj","CZ031","6777"
"Narození","4355","2018","2018","Plzeňský kraj","CZ032","6100"
"Narození","4355","2018","2018","Karlovarský kraj","CZ041","2764"
"Narození","4355","2018","2018","Ústecký kraj","CZ042","8139"
"Narození","4355","2018","2018","Liberecký kraj","CZ051","4741"
"Narození","4355","2018","2018","Královéhradecký kraj","CZ052","5701"
"Narození","4355","2018","2018","Pardubický kraj","CZ053","5550"
